Friendly Name,Country,Number Type,End User Type,Sid,Wave,(Target) Release Date
Australia: Mobile - Business,AU,Mobile,Business,RNede12e527be2628b51290c0187de7ee4,Wave 1,12/9/2024
Australia: Mobile - Individual,AU,Mobile,Individual,RN6a355ad38b79bb02b8a50d28cb7b9c4b,Wave 1,12/9/2024
Brazil: Local - Business,BR,Local,Business,RNc7d10bbcb090a927be21e454db550220,Wave 1,12/9/2024
Brazil: Mobile - Business,BR,Mobile,Business,RN379b3d70a43dca3f7c3845be7262429b,Wave 1,12/9/2024
Brazil: Mobile - Individual,BR,Mobile,Individual,RN4cf26972f901f140c338dea9c05a712d,Wave 1,12/9/2024
Brazil: National - Business,BR,National,Business,RN6b2eb528648f6291629777cb10d66fdf,Wave 1,12/9/2024
Brazil: Toll-Free - Business,BR,Toll Free,Business,RN91ae68df4dfd662d3e46b55391158db9,Wave 1,12/9/2024
Brazil: Toll-Free - Individual,BR,Toll Free,Individual,RNc311b5cff9d585f24c12f2a1126f171b,Wave 1,12/9/2024
Germany: Local - Business,DE,Local,Business,RNfd11dde5d4b7252abf96139766f68034,Wave 1,12/9/2024
Germany: Mobile - Business,DE,Mobile,Business,RN0ffdc59bf88e48f2efdf8c440255723b,Wave 1,12/9/2024
Germany: Toll-Free - Business,DE,Toll Free,Business,RNadc8e3ac43f9e95310c2857cd67c971d,Wave 1,12/9/2024
Germany: Toll-Free - Individual,DE,Toll Free,Individual,RN6a1999ed843678dd77e5d572e3b474d2,Wave 1,12/9/2024
Mexico: Local - Business,MX,Local,Business,RN96ed6c82365210c0577b08b0087ff150,Wave 1,12/9/2024
Mexico: Local - Individual,MX,Local,Individual,RN67d6b7f40aebf31d912485e6ff00d9e0,Wave 1,12/9/2024
Mexico: Toll-Free - Business,MX,Toll Free,Business,RN34bfc0c37872839a1a104ec5788f440c,Wave 1,12/9/2024
Mexico: Toll-Free - Individual,MX,Toll Free,Individual,RN46cf9ecbd80dfcfc72b2d7e57eccf1a0,Wave 1,12/9/2024
Spain: Local - Business,ES,Local,Business,RN4fef079e6810dd3af0df8a94ce9ae98b,Wave 1,12/9/2024
Spain: Local - Individual,ES,Local,Individual,RNddaf6d60d1a1e6524869354353f72108,Wave 1,12/9/2024
Spain: Mobile - Business,ES,Mobile,Business,RNa2397ab2f74eb41599d3e79ddc7e055c,Wave 1,12/9/2024
Spain: Mobile - Individual,ES,Mobile,Individual,RNf71865587d00bac67d5367f614ca841c,Wave 1,12/9/2024
Spain: National - Business,ES,National,Business,RNd83160fc0b26436b067e0bf36826a803,Wave 1,12/9/2024
Spain: National - Individual,ES,National,Individual,RN4cb3c8baebf8842dbec715101d5ad289,Wave 1,12/9/2024
Spain: Toll-Free - Business,ES,Toll Free,Business,RNd7d094b246c8668bffe278d63b758454,Wave 1,12/9/2024
Spain: Toll-Free - Individual,ES,Toll Free,Individual,RNbf6796fb83d9b3594386f79b3cf253d4,Wave 1,12/9/2024
Argentina: Local - Business,AR,Local,Business,RNb34a38a077cb9a468d578e61d723e5f1,Wave 2,1/17/2024
Argentina: Local - Individual,AR,Local,Individual,RN3caea19b538071820d22c11d94ccf27a,Wave 2,1/17/2024
Argentina: Toll-Free - Business,AR,Toll Free,Business,RN24cb059292ad7da7113b30a1ef925cf8,Wave 2,1/17/2024
Argentina: Toll-Free - Individual,AR,Toll Free,Individual,RN58e96a6e84520734e7c6a955e2b37130,Wave 2,1/17/2024
Austria: Local - Business,AT,Local,Business,RN5549e6430ee0d1f724f0a97105e997fc,Wave 2,1/17/2024
Austria: Local - Individual,AT,Local,Individual,RN0574e1d3c585f18acd209b78bb3c7d5b,Wave 2,1/17/2024
Austria: Mobile - Business,AT,Mobile,Business,RNfc13525d8a6a191b9dbd1b7ffa24ad5b,Wave 2,1/17/2024
Austria: Mobile - Individual,AT,Mobile,Individual,RNa087b2ffcef91103e10dc85d5c84a2f0,Wave 2,1/17/2024
Austria: National - Business,AT,National,Business,RN715e995c9f87696f6fbc15160f290652,Wave 2,1/17/2024
Austria: National - Individual,AT,National,Individual,RNf24d076f2080fdb2e412ce06e8728679,Wave 2,1/17/2024
Austria: Toll-Free - Business,AT,Toll Free,Business,RN3862173691318a897efffcacc944a3e1,Wave 2,1/17/2024
Austria: Toll-Free - Individual,AT,Toll Free,Individual,RNd47b422204345854dc6a41c0fbc3f968,Wave 2,1/17/2024
Barbados: Local - Business,BB,Local,Business,RNadb4439a3ac463988f5cf88107947ffe,Wave 2,1/17/2024
Barbados: Local - Individual,BB,Local,Individual,RN86d56a70ee55757550a0372c074d1f68,Wave 2,1/17/2024
Belgium: Local - Business,BE,Local,Business,RNdc6823b9f28946eabaa4a9d3b7f565cf,Wave 2,1/17/2024
Belgium: Local - Individual,BE,Local,Individual,RN8e39a7ecdef1ef1213db0593991be76a,Wave 2,1/17/2024
Belgium: Mobile - Business,BE,Mobile,Business,RNcaba07fabdb8e85d75eb1faab7c37e17,Wave 2,1/17/2024
Belgium: Mobile - Individual,BE,Mobile,Individual,RNac91ce3fe89f32ad1f952037af47cc27,Wave 2,1/17/2024
Belgium: Toll-Free - Business,BE,Toll Free,Business,RNfe9d1378ccdcf3c117b9597d441d7981,Wave 2,1/17/2024
Belgium: Toll-Free - Individual,BE,Toll Free,Individual,RNa70676372380b6b0c7a89d91a2d0b867,Wave 2,1/17/2024
Benin: Mobile - Business,BJ,Mobile,Business,RNaf06db34733370d43cf0fe400db5dfd4,Wave 2,1/17/2024
Benin: Mobile - Individual,BJ,Mobile,Individual,RN916cbb2f415f783e2c540e071fa31e97,Wave 2,1/17/2024
Bosnia and Herzegovina: National - Business,BA,National,Business,RN00664e2ae0451a9ccfb6f9af1681185b,Wave 2,1/17/2024
Bosnia and Herzegovina: National - Individual,BA,National,Individual,RNfc0aa7037558c2dfd9d1f4a1e999dd91,Wave 2,1/17/2024
Bulgaria: Local - Business,BG,Local,Business,RN37b6edcaeda545157b1606ec6805602e,Wave 2,1/17/2024
Bulgaria: Local - Individual,BG,Local,Individual,RNc57b56e37902da753c4c3a5b9e662304,Wave 2,1/17/2024
Bulgaria: Toll-Free - Business,BG,Toll Free,Business,RN27407613a886adcef9824544881eeb68,Wave 2,1/17/2024
Bulgaria: Toll-Free - Individual,BG,Toll Free,Individual,RN908f363a5caa08fc96e909c4f8d7b974,Wave 2,1/17/2024
Chile: Local - Business,CL,Local,Business,RN78b594f0edfd788a8ae99285dbaa6221,Wave 2,1/17/2024
Chile: Local - Individual,CL,Local,Individual,RN10933a2626250bc6ce8bdb6cfb79e16f,Wave 2,1/17/2024
Chile: Toll-Free - Business,CL,Toll Free,Business,RN90d41859f8cf1f1b5ff0dc931a138441,Wave 2,1/17/2024
Chile: Toll-Free - Individual,CL,Toll Free,Individual,RN9a6e708b63da2fc0df4eaedced6a648f,Wave 2,1/17/2024
Colombia: Local - Business,CO,Local,Business,RNba1d41c4adfc4a08f0418a65cdc0e319,Wave 2,1/17/2024
Colombia: Local - Individual,CO,Local,Individual,RN8e3f7e391bbd36f3464521abbfc603fd,Wave 2,1/17/2024
Colombia: Toll-Free - Business,CO,Toll Free,Business,RN0f88dd0f684f2510b47859362840e647,Wave 2,1/17/2024
Colombia: Toll-Free - Individual,CO,Toll Free,Individual,RN9bdfa2000dc22ad79daaae18e3deba49,Wave 2,1/17/2024
Costa Rica: National - Business,CR,National,Business,RNffd4fd0336145e632313dfb380c25966,Wave 2,1/17/2024
Costa Rica: National - Individual,CR,National,Individual,RNddc656c9e7d55e3d985e920982bd5dd8,Wave 2,1/17/2024
Costa Rica: Toll-Free - Business,CR,Toll Free,Business,RNfb60f31293635a203bfc6c5979037dcb,Wave 2,1/17/2024
Croatia: Local - Business,HR,Local,Business,RN35b90f399b4cd2ee4151fce2b9810893,Wave 2,1/17/2024
Croatia: Local - Individual,HR,Local,Individual,RN19eec2316340494136c6ba36b39ef47f,Wave 2,1/17/2024
Croatia: Toll-Free - Business,HR,Toll Free,Business,RN66c4bc2a88f1cdbb079d173a1f12f4e0,Wave 2,1/17/2024
Croatia: Toll-Free - Individual,HR,Toll Free,Individual,RN18e140f49fa25d3bcf9bddb3dae4f3d5,Wave 2,1/17/2024
Czech Republic: Local - Business,CZ,Local,Business,RNcf84ba9706841c8c5fc07d066a524632,Wave 2,1/17/2024
Czech Republic: Local - Individual,CZ,Local,Individual,RN70bc36ffeee3549155743b66860930ec,Wave 2,1/17/2024
Czech Republic: Mobile - Business,CZ,Mobile,Business,RN8b66e6806f0ee9fefc1c90c88de154e8,Wave 2,1/17/2024
Czech Republic: Mobile - Individual,CZ,Mobile,Individual,RN1ca2f82d84d2cdc1e6618d1d6b2366c6,Wave 2,1/17/2024
Denmark: Local - Business,DK,Local,Business,RNecbd353dafb54bf17f8be6c8044c6d52,Wave 2,1/17/2024
Denmark: Local - Individual,DK,Local,Individual,RN26a7303c2d9ffbec84e2455c22e5cf08,Wave 2,1/17/2024
Dominican Republic: Local - Business,DO,Local,Business,RN1aff8a2061891b2f1118e10c2e8e28b3,Wave 2,1/17/2024
Dominican Republic: Local - Individual,DO,Local,Individual,RN0bc6be93ba62a5b37a38f31ccb7de9bc,Wave 2,1/17/2024
Dominican Republic: Toll-Free - Business,DO,Toll Free,Business,RNe88ac7c83caf59ff913829fc306bf7c7,Wave 2,1/17/2024
Dominican Republic: Toll-Free - Individual,DO,Toll Free,Individual,RN9c50a2a3c426349f699d04a62fe18a64,Wave 2,1/17/2024
Ecuador: Local - Business,EC,Local,Business,RN2b38ba7b3a8f3a06f424bcc7e31a66cf,Wave 2,1/17/2024
Ecuador: Local - Individual,EC,Local,Individual,RNe94b75bc9225114c60e5bac92ffbbc76,Wave 2,1/17/2024
Estonia: Mobile - Business,EE,Mobile,Business,RN26dca8d0e541a6c8fce4abd46e518506,Wave 2,1/17/2024
Estonia: Mobile - Individual,EE,Mobile,Individual,RN88c2810570ee6cdea58d97e5db9b9c0f,Wave 2,1/17/2024
Estonia: National - Business,EE,National,Business,RN6b9fd53bde8a4e6b32079ef7cddf18c0,Wave 2,1/17/2024
Estonia: National - Individual,EE,National,Individual,RNd8bb02ae0484f332bb31f0fddbd38476,Wave 2,1/17/2024
Estonia: Toll-Free - Business,EE,Toll Free,Business,RNfd9d6a7c301fae6deff08c61a21de949,Wave 2,1/17/2024
Estonia: Toll-Free - Individual,EE,Toll Free,Individual,RN758c220d99609236fb67aa11f2dfde79,Wave 2,1/17/2024
Ghana: Mobile - Business,GH,Mobile,Business,RN4f02d60b514834a1d69181c7d0985426,Wave 2,1/17/2024
Ghana: Mobile - Individual,GH,Mobile,Individual,RN5b0f15e532dcba0b56fc91aa775a0374,Wave 2,1/17/2024
Greece: Toll-Free - Business,GR,Toll Free,Business,RNebd638514ca744faf53eb67300bce43c,Wave 2,1/17/2024
Greece: Toll-Free - Individual,GR,Toll Free,Individual,RNcd03aedd59d85bc350b2cd50c5afa51d,Wave 2,1/17/2024
Grenada: Local - Business,GD,Local,Business,RN725a0b730e0b89b8531bb0688080f101,Wave 2,1/17/2024
